CD_SETOR,V06001,V06002,V06003,V06004,V06005
314330205000363,"225,00","657,00","2,46","1.994,96","4.118.056,30"
314330205000365,"191,00","563,00","1,80","2.861,68","7.227.774,72"
314330205000367,"287,00","839,00","2,00","1.478,27","500.826,54"
314330205000368,X,X,X,X,X
314330205000370,"169,00","534,00","2,17","1.438,54","636.341,62"
314330205000372,"274,00","801,00","2,04","1.909,93","3.293.340,25"
314330205000373,"222,00","628,00","1,84","2.999,63","140.469.065,28"
314330205000374,"236,00","715,00","2,10","1.764,89","1.992.560,16"
314330205000379,"305,00","910,00","1,52","2.101,74","3.364.161,09"
314330205000380,"101,00","265,00","2,34","1.560,77","1.303.244,80"
314330205000382,"53,00","124,00","1,81","1.344,38","398.641,39"
314330205000384,X,X,X,X,X
314330205000389,"154,00","517,00","1,66","13.651,87","147.885.723,39"
314330205000391,"133,00","423,00","2,15","1.859,81","9.776.108,16"
314330205000392,"229,00","775,00","2,05","1.180,51","370.874,28"
314330205000393,"243,00","821,00","3,05","1.247,06","1.175.419,98"
314330205000397,"194,00","652,00","2,97","1.517,78","1.274.973,33"
314330205000398,"268,00","890,00","2,61","1.228,22","579.362,45"
314330205000399,"293,00","973,00","2,88","1.273,90","947.288,82"
314330205000400,"328,00","1.080,00","2,13","1.305,47","524.918,90"
314330205000401,"95,00","255,00","2,58","1.438,83","1.192.939,49"
314330205000404,"173,00","524,00","2,94","1.266,28","1.751.030,15"
314330205000405,"36,00","84,00","1,54","1.222,86","140.450,42"
314330205000406,"67,00","151,00","1,40","2.127,33","8.330.946,26"
314330205000407,"89,00","258,00","3,02","1.479,42","4.604.696,58"
314330205000409,"113,00","296,00","1,52","1.822,60","2.766.319,65"
314330205000410,"79,00","174,00","1,32","2.286,79","8.302.206,52"
314330205000411,"49,00","125,00","1,25","1.518,67","934.626,10"
314330205000412,"34,00","99,00","2,26","1.161,45","266.365,82"
314330205000414,"74,00","188,00","1,87","1.349,71","810.993,09"
314330205000415,"127,00","337,00","1,63","1.853,48","3.007.241,18"
314330205000416,"60,00","104,00","1,11","2.727,82","4.986.372,07"
314330205000417,"36,00","54,00","0,83","3.973,19","11.185.342,29"
314330205000418,"67,00","156,00","1,92","3.079,15","6.784.167,53"
314330205000419,"228,00","527,00","1,55","4.421,84","19.293.709,82"
314330205000421,"150,00","378,00","1,74","6.625,00","45.692.112,05"
314330205000426,"169,00","454,00","2,12","3.258,43","61.303.732,45"
314330205000427,"197,00","524,00","1,61","5.165,92","26.104.327,09"
314330205000428,"178,00","392,00","1,22","3.682,35","10.947.018,15"
314330205000429,"145,00","352,00","1,45","7.577,91","50.873.889,26"
314330205000431,"170,00","467,00","1,70","7.507,88","64.406.463,83"
314330205000432,"211,00","640,00","1,73","1.636,18","965.396,60"
314330205000433,"235,00","657,00","2,22","5.693,92","29.680.378,80"
314330205000434,"258,00","760,00","2,25","2.927,32","5.965.319,49"
314330205000435,"202,00","515,00","1,29","5.996,63","39.285.278,81"
314330205000436,"81,00","186,00","1,61","4.494,08","19.495.408,46"
314330205000437,"174,00","490,00","2,06","1.489,63","989.004,43"
